id;semt_bucak_belde;ilce_id
982;HÜYÜK;451
983;IĞDIR;672
984;IHLAMURKUYU;917
985;ILGAZ;452
986;ILGIN;453
987;ILICA;100
988;IŞIKKENT;160
989;IŞIKLAR;342
990;IŞIKLAR;628
991;İÇERENKÖY;85
992;İÇMELER;900
993;İDEALTEPE;610
994;İDİL;455
995;İĞNEADA;260
996;İHSANGAZİ;456
997;İHSANİYE;457
998;İHSANİYE;635
999;İHSANİYE;703
1000;İKİTELLİ;119
1001;İKİZCE;458
1002;İKİZDERE;459
1003;İLDEM;620
1004;İLİÇ;460
1005;İLYASLAR;552
1006;İMAMAĞA;627
1007;İMAMOĞLU;462
1008;İMBATLI;523
1009;İMRANLI;463
1010;İMROZ;371
1011;İNCESU;464
1012;İNCİRLİK;780
1013;İNCİRLİK;967
1014;İNCİRLİOVA;465
1015;İNCİRTEPE;333
1016;İNEBOLU;466
1017;İNECE;649
1018;İNEGÖL;467
1019;İNHİSAR;468
1020;İNKILAP;917
1021;iNKIŞLA;361
1022;İNÖNÜ;469
1023;İPSALA;471
1024;İSCEHİSAR;472
1025;İSHAKÇELEBİ;789
1026;İSKELE;59
1027;İSKELE;897
1028;İSKELE;914
1029;İSKENDERPAŞA;345
1030;İSKİLİP;474
1031;İSKİTLER;48
1032;İSLAHİYE;475
1033;İSPİR;476
1034;İSTASYON;33
1035;İSTASYON;79
1036;İSTASYON;461
1037;İSTASYON;897
1038;İSTİKLAL;146
1039;İSTİKLAL;734
1040;İSTİNYE;787
1041;İŞÇİEVLERİ;171
1042;İVEDİK OSB;945
1043;İVRİNDİ;477
1044;İYİDERE;478
1045;İYTE;914
1046;İZMİRYOLBOYU;703
1047;İZMİT;479
1048;İZNİK;480
1049;İZZETPAŞA;641
1050;KABALA;79
1051;KABATAŞ;482
1052;KADIKÖY;461
1053;KADINHANI;484
1054;KADIŞEHRİ;485
1055;KADİRLİ;486
1056;KAĞITHANE MERKEZ;487
1057;KAĞIZMAN;488
1058;KAHRAMANLAR;565
1059;KAHTA;490
1060;KAHVELİ;574
1061;KALABA;87
1062;KALABA;535
1063;KALE;262
1064;KALE;461
1065;KALE;491
1066;KALE;492
1067;KALECİK;493
1068;KALEMLİ;962
1069;KALICIKONUTLAR;677
1070;KALKAN;526
1071;KALKANDERE;494
1072;KALKIM;941
1073;KAMAN;495
1074;KANALBOYU;125
1075;KANATLI;61
1076;KANDIRA;496
1077;KANDİLLİ;920
1078;KANGAL;497
1079;KANLIPINAR;708
1080;KAPAKLI;498
1081;KAPALIÇARŞI;125
1082;KARAAĞAÇ;384
1083;KARAAĞAÇLI;856
1084;KARABAĞLAR;499
1085;KARABAYIR;332
1086;KARABİGA;150
1087;KARABURUN;500
1088;KARACABEY;501
