mahalle;semt_bucak_belde_id
BAHÇELİEVLER MAH.;1127
BÜYÜKÇILDIRIM MAH.;1127
BÜYÜKDİKİLİ MAH.;1127
CAMUZCU MAH.;1127
ÇAPUTÇU MAH.;1127
DERVİŞLER MAH.;1127
DÖRTAĞAÇ MAH.;1127
GÖKÇELER MAH.;1127
GÖLBAŞI MAH.;1127
KARAKUYU MAH.;1127
KARAYUSUFLU MAH.;1127
KAYIŞLI MAH.;1127
KOYUNCU MAH.;1127
KÖYLÜOĞLU MAH.;1127
KUYUMCULAR MAH.;1127
KÜÇÜKÇILDIRIM MAH.;1127
MÜRSELOĞLU MAH.;1127
SALMANBEYLİ MAH.;1127
SARIHUĞLAR MAH.;1127
SERİNEVLER MAH.;1127
YALMANLI MAH.;1127
YENİDAM MAH.;1127
YOLGEÇEN MAH.;1127
ZEYTİNLİ MAH.;1127
ÇINARLI MAH.;1281
DÖŞEME MAH.;1281
HANEDAN MAH.;1281
HURMALI MAH.;1281
İSTİKLAL MAH.;1281
KOCAVEZİR MAH.;1281
KURUKÖPRÜ MAH.;1281
KAVAKLI MAH.;1294
KOZA MAH.;1294
KÜÇÜKDİKİLİ MAH.;1294
MEKAN MAH.;1294
FATİH MAH.;1347
PINAR MAH.;1347
TELLİDERE MAH.;1347
DUMLUPINAR MAH.;1367
GÜLPINAR MAH.;1367
MEYDAN MAH.;1367
MİRZAÇELEBİ MAH.;1367
YEŞİLYUVA MAH.;1367
BARBAROS MAH.;2052
BEY MAH.;2052
HAVUZLUBAHÇE MAH.;2052
HÜRRİYET MAH.;2052
MIDIK MAH.;2052
SUCUZADE MAH.;2052
ONUR MAH.;2152
YEŞİLOBA MAH.;2152
KARASOKU MAH.;2310
KAYALIBAĞ MAH.;2310
TEPEBAĞ MAH.;2310
ULUCAMİİ MAH.;2310
DEMETEVLER MAH.;2386
İSMETPAŞA MAH.;2386
NARLICA MAH.;2386
YEŞİLEVLER MAH.;2386
SARIHAMZALI MAH.;2393
SÖĞÜTLÜ MAH.;2393
YENİBARAJ MAH.;2399
YEŞİLYURT MAH.;2399
GAZİPAŞA MAH.;2433
NAMIK KEMAL MAH.;2433
SÜMER MAH.;2433
ZİYAPAŞA MAH.;2433
AKÇAL MAH.;560
AKPINAR MAH.;560
AYVAT MAH.;560
BOLATPINARI MAH.;560
BOZGÜNEY MAH.;560
ÇATALÇAM MAH.;560
ÇUKURKIŞLA MAH.;560
DAMLALI MAH.;560
DEMİROLUK MAH.;560
DOĞANBEYLİ MAH.;560
DOĞANLI MAH.;560
ELEMANLI MAH.;560
EVCİ MAH.;560
FATMAKUYU MAH.;560
GÜZELİM MAH.;560
HANYERİ MAH.;560
İĞDEBEL MAH.;560
KARSAVRAN MAH.;560
KAYAPINAR MAH.;560
KAYARCIK MAH.;560
KİRAZLIYURT MAH.;560
KOCCAĞIZ MAH.;560
ORTAKÖY MAH.;560
PEKMEZLİ MAH.;560
PINARLAR MAH.;560
ŞAR MAH.;560
TAŞPINAR MAH.;560
TOZLU MAH.;560
YAMANLI MAH.;560
YEŞİLOVA MAH.;560
CUMHURİYET MAH.;2245
İSTİKLAL MAH.;2245
YENİCAMİ MAH.;2245
ASMALI MAH.;1068
AYVALIK MAH.;1068
DEMİRTAŞ MAH.;1068
DEVECİUŞAĞI MAH.;1068
GÖLOVASI MAH.;1068
HAMZALI MAH.;1068
HAYLAZLI MAH.;1068
KALDIRIM MAH.;1068
KALEMLİ MAH.;1068
KESMEBURUN MAH.;1068
KIRMIZIDAM MAH.;1068
KUZUPINARI MAH.;1068
NARLIÖREN MAH.;1068
SUGÖZÜ MAH.;1068
YENİKÖY MAH.;1068
YEŞİLKÖY MAH.;1068
YUMURTALIK MAH.;1068
ZEYTİNBELİ MAH.;1068
AKDENİZ MAH.;2417
AKYUVA MAH.;2417
AYAS MAH.;2417
DEVRİŞİYE MAH.;2417
KEMALPAŞA MAH.;2417
ÖREN MAH.;2417
YAKAPINAR MAH.;9
ABDİOĞLU CUMHURİYET MAH.;101
AĞZIBÜYÜK MAH.;101
AKDAM MAH.;101
AKPINAR MAH.;101
ALİHOCALI MAH.;101
AYDINCIK MAH.;101
BELÖREN MAH.;101
BEYKÖY MAH.;101
BÜYÜKKAPILI MAH.;101
CAMİLİ MAH.;101
CIRIK MAH.;101
CİNE MAH.;101
ÇAĞIRKANLI MAH.;101
ÇATALPINAR MAH.;101
ÇELEMLİ MAH.;101
ÇOTLU MAH.;101
DANIŞMENT MAH.;101
DEDEPINARI MAH.;101
DENİZKUYUSU MAH.;101
DÜZCE MAH.;101
EĞRİAĞAÇ MAH.;101
ESENLER MAH.;101
GEÇİTLİ CUMHURİYET MAH.;101
GÖKÇELİ MAH.;101
GÜMÜŞYAZI MAH.;101
GÜVELOĞLU MAH.;101
HACIALİ MAH.;101
HAVRANİYE MAH.;101
HEREKLİ MAH.;101
IRMAKBAŞI MAH.;101
KADIKÖY MAH.;101
KAMIŞLI MAH.;101
KARAAHMETLİ MAH.;101
KAŞLICA MAH.;101
KAYARLI MAH.;101
KÖKLÜCE MAH.;101
KÖPRÜGÖZÜ MAH.;101
KÜTÜKLÜ MAH.;101
ÖZLER MAH.;101
PAŞAKÖY MAH.;101
PEKMEZLİ MAH.;101
SAĞDIÇLI MAH.;101
SAKIZLI MAH.;101
SAZAK MAH.;101
ŞAHİNAĞA MAH.;101
ŞEYHMURAT MAH.;101
TAŞÇI MAH.;101
VAYVAYLI MAH.;101
YAHŞİLER MAH.;101
YALNIZCA MAH.;101
YENİCE MAH.;101
YENİKÖY MAH.;101
YERDELEN MAH.;101
YUKARIÇİÇEKLİ MAH.;101
YUNUSOĞLU CUMHURİYET MAH.;101
YUNUSOĞLU HÜRRİYET MAH.;101
ZAĞARLI MAH.;101
19 MAYIS MAH.;242
ANADOLU MAH.;242
BAHÇELİEVLER MAH.;242
BAŞAK MAH.;242
DEDE KORKUT MAH.;242
GÜZELEVLER MAH.;242
KOZA MAH.;242
LEVENT MAH.;242
YEŞİL BAĞLAR MAH.;242
YUNUS EMRE MAH.;242
DOĞANKENT BAHÇELİEVLER MAH.;619
DOĞANKENT CUMHURİYET MAH.;619
DOĞANKENT KIŞLA MAH.;619
GAZİPAŞA MAH.;619
ATATÜRK MAH.;944
HAVUTLU MAH.;944
SOLAKLI CUMHURİYET MAH.;944
SOLAKLI HÜRRİYET MAH.;944
İNCİRLİK CUMHURİYET MAH.;1012
ATAKENT MAH.;1091
ÇAMLIBEL MAH.;1091
DERVİŞLER MAH.;1091
KİREMİTHANE MAH.;1091
MUTLU MAH.;1091
ŞEHİT ERKUT AKBAY MAH.;1091
TAHSİLLİ MAH.;1091
ULUBATLI HASAN MAH.;1091
CUMHURİYET MAH.;1134
GÜNEŞLİ MAH.;1134
KAZIM KARABEKİR MAH.;1168
KIŞLA MAH.;1168
KÖPRÜLÜ MAH.;1168
YENİDOĞAN MAH.;1190
DADALOĞLU MAH.;1975
KARACAOĞLAN MAH.;1975
P.T.T MAH.;1975
SELAHATTİN EYYUBİ MAH.;1975
SERİNEVLER MAH.;1975
ESKİ MİSİS MAH.;2317
AKDENİZ MAH.;2325
HAYDAROĞLU MAH.;2325
SEYHAN MAH.;2325
YAMAÇLI MAH.;2325
AKINCILAR MAH.;2330
ÖZGÜR MAH.;2330
SARIÇAM MAH.;2330
SİNANPAŞA MAH.;2330
YAVUZLAR MAH.;2330
AŞAĞISARHAN MAH.;311
CİRİT MEYDANI MAH.;311
ÇAT MAH.;311
DUMLUPINAR MAH.;311
ERDEMOĞLU MAH.;311
